Method,GUID,Leaky,Random,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
crypto.randomBytes,Y,N,Y,N,N,65536,buffer,2261923.2471071226,5.2174845232287664e-8,4.4210165012404636e-7,1.240117352559509e-8,2.8050502688952927,68,6.327129349793413e-9,2.722214475013171e-15
crypto.randomBytes,Y,N,Y,Y,N,65536,buffer,2067251.18331161,4.083159741040264e-8,4.837341529044676e-7,9.120257062168396e-9,1.8853862203873684,77,4.653192378657345e-9,1.6672193470851996e-15
crypto.randomFillSync,Y,N,Y,Y,Y,,hex,567879.3975205804,7.53443426511544e-8,0.0000017609372771157085,1.5480537059061188e-8,0.8791078058394686,91,7.898233193398565e-9,5.676769969534563e-15
crypto.randomFillSync,Y,N,Y,Y,Y,,buffer,699675.6001725539,6.627696311879052e-8,0.000001429233775986157,1.3769674318238822e-8,0.963430514279435,89,7.0253440399177665e-9,4.39263584024952e-15
crypto.randomFillSync,Y,N,Y,N,Y,256,hex,2914824.110296779,2.083628046395507e-8,3.430738741550285e-7,4.28110194535365e-9,1.2478659168955262,91,2.1842356864049237e-9,4.3415058357259574e-16
crypto.randomFillSync,Y,N,Y,Y,Y,256,hex,2376067.409492549,2.4756448382390275e-8,4.2086348055822525e-7,5.004728061327267e-9,1.1891571239892544,94,2.5534326843506465e-9,6.12881736509954e-16
crypto.randomFillSync,Y,N,Y,N,Y,256,buffer,5947502.602945963,1.3239449722166897e-8,1.6813779946975934e-7,2.766206961621668e-9,1.6452023104532112,88,1.4113300824600348e-9,1.7528302894578513e-16
crypto.randomFillSync,Y,N,Y,Y,Y,256,buffer,4695535.321809874,1.3175875763261852e-8,2.1296826271441067e-7,2.7071658715392097e-9,1.271159297181057,91,1.3812070773159232e-9,1.7360370212891108e-16
crypto.randomFillSync,Y,N,Y,N,Y,4096,hex,4157370.7046405454,1.584105695957654e-8,2.4053664468356857e-7,3.2911314116653816e-9,1.368245331597994,89,1.679148679421113e-9,2.509390855965484e-16
crypto.randomFillSync,Y,N,Y,Y,Y,4096,hex,3143818.8153644204,1.8860237915974978e-8,3.1808448855666113e-7,3.896565523107023e-9,1.2250096006844164,90,1.988043634238277e-9,3.557085742471802e-16
crypto.randomFillSync,Y,N,Y,N,Y,4096,buffer,12942046.043041443,7.537854344590045e-9,7.726753533979818e-8,1.5931423664422333e-9,2.0618521859615386,86,8.128277379807313e-10,5.681924812025502e-17
crypto.randomFillSync,Y,N,Y,Y,Y,4096,buffer,8019855.537693422,1.1391842827257116e-8,1.2469052532180752e-7,2.4657164329088436e-9,1.9774689588845662,82,1.2580185882187978e-9,1.297740830009294e-16
crypto.randomFillSync,Y,N,Y,N,Y,65536,hex,4061592.887681784,1.7934111856224382e-8,2.462088219212845e-7,3.747094185049711e-9,1.5219171091471677,88,1.9117827474743424e-9,3.21632368071568e-16
crypto.randomFillSync,Y,N,Y,Y,Y,65536,hex,3359623.794540559,9.160786003562698e-9,2.9765237453818955e-7,1.8618613440055915e-9,0.6255153673456451,93,9.4992925714571e-10,8.392000020307023e-17
crypto.randomFillSync,Y,N,Y,N,Y,65536,buffer,13818300.662343968,8.938857685180124e-9,7.236779864872126e-8,1.93477812325901e-9,2.6735345822118597,82,9.871316955403112e-10,7.990317671590377e-17
crypto.randomFillSync,Y,N,Y,Y,Y,65536,buffer,8777884.400955426,1.1097387479652667e-8,1.1392266682062426e-7,2.3592141196210346e-9,2.070890881913527,85,1.203680673276038e-9,1.2315200887355176e-16
crypto.randomFill,Y,N,Y,Y,N,,hex,59064.97742743493,0.0000012572643523719642,0.00001693050676652782,2.9245126148762006e-7,1.7273627158391152,71,1.4920982728960208e-7,1.5807136517452947e-12
crypto.randomFill,Y,N,Y,Y,N,,buffer,60180.68319967618,0.0000016357773825374356,0.000016616627576028927,3.8049687651882065e-7,2.2898561984245456,71,1.9413105944837788e-7,2.675767645221024e-12
crypto.randomFill,Y,N,Y,N,N,256,hex,436733.36023631686,2.8136630068838787e-7,0.0000022897266182251317,6.591422224792755e-8,2.8786939769700792,70,3.3629705228534465e-8,7.916699516306829e-14
crypto.randomFill,Y,N,Y,Y,N,256,hex,441014.54879649705,2.0386999360392598e-7,0.0000022674988902949838,4.6767908743331745e-8,2.06253281725962,73,2.38611779302713e-8,4.1562974292064816e-14
crypto.randomFill,Y,N,Y,N,N,256,buffer,555012.4414363328,2.0065530565790085e-7,0.0000018017614117119087,4.7006476539663865e-8,2.608917930759854,70,2.3982896193706053e-8,4.026255168866562e-14
crypto.randomFill,Y,N,Y,Y,N,256,buffer,494604.7006641452,1.7021297904256835e-7,0.0000020218166116440467,3.931719223080817e-8,1.9446468094273528,72,2.0059791954493964e-8,2.897245823454581e-14
crypto.randomFill,Y,N,Y,N,N,4096,hex,1008026.1261979605,1.1737848543385761e-7,9.920377795878831e-7,2.7303316181577412e-8,2.752245604287357,71,1.3930263357947659e-8,1.3777708842746323e-14
crypto.randomFill,Y,N,Y,Y,N,4096,hex,1007917.6008814091,1.497065819992682e-7,9.921445950795132e-7,3.482312902301461e-8,3.5098844660060657,71,1.7766902562762557e-8,2.2412060693903608e-14
crypto.randomFill,Y,N,Y,N,N,4096,buffer,1960212.2187744204,4.694379388616001e-8,5.101488453251394e-7,1.0695926178167575e-8,2.0966285185553266,74,5.457105192942641e-9,2.203719784426274e-15
crypto.randomFill,Y,N,Y,Y,N,4096,buffer,1775184.4037603526,4.899557035335966e-8,5.633217585067284e-7,1.101554763444229e-8,1.95546283595412,76,5.620177364511372e-9,2.4005659142510162e-15
crypto.randomFill,Y,N,Y,N,N,65536,hex,1436161.2093682128,4.489512503427319e-8,6.963006614277751e-7,9.838078040628768e-9,1.4129066056688269,80,5.019427571749372e-9,2.0155722518430233e-15
crypto.randomFill,Y,N,Y,Y,N,65536,hex,1302258.07074661,5.354443970213158e-8,7.678969495091557e-7,1.173344268512827e-8,1.5279970434351065,80,5.98645034955524e-9,2.8670070230152044e-15
crypto.randomFill,Y,N,Y,N,N,65536,buffer,2537498.894455206,2.892155336545915e-8,3.940888416484206e-7,6.3777007944230266e-9,1.618340871501452,79,3.253928976746442e-9,8.364562490711016e-16
crypto.randomFill,Y,N,Y,Y,N,65536,buffer,2191794.129757194,3.510143663966514e-8,4.5624722980291024e-7,7.740471527008102e-9,1.6965520054449057,79,3.949220166840868e-9,1.2321108541684263e-15
/dev/random,Y,N,Y,Y,N,,hex,65719.9754717945,0.0000011507360548234532,0.000015216073846971793,2.7152338960748885e-7,1.784451050502267,69,1.385323416364739e-7,1.3241934678706456e-12
/dev/random,Y,N,Y,Y,Y,,hex,420371.1139661026,9.243699894339998e-8,0.000002378850417587534,1.8787129731190018e-8,0.7897566653326034,93,9.585270271015315e-9,8.544598773662128e-15
/dev/random,Y,N,Y,Y,N,,buffer,69687.60843043662,0.0000016233398371008329,0.000014349753457219262,3.8584338719687684e-7,2.6888502882449297,68,1.9685887101881473e-7,2.635232226718559e-12
/dev/random,Y,N,Y,Y,Y,,buffer,493692.5684861421,6.934369622419269e-8,0.0000020255520618153075,1.3799939783335236e-8,0.6812927716588867,97,7.040785603742467e-9,4.808548206033116e-15
/dev/random,Y,N,Y,N,N,256,hex,366317.0474400297,3.236915350123209e-7,0.0000027298756827955473,7.230062489321397e-8,2.648495143895125,77,3.688807392510917e-8,1.0477620983863257e-13
/dev/random,Y,N,Y,Y,N,256,hex,378659.95041751215,2.3344921330096546e-7,0.0000026408919107959413,5.319032283316531e-8,2.014104500669784,74,2.7137919812839443e-8,5.449853519083967e-14
/dev/random,Y,N,Y,Y,Y,256,hex,1246225.4894110872,3.433938433763893e-8,8.024230032981889e-7,6.942000635500298e-9,0.8651298139468439,94,3.5418370589287233e-9,1.1791933166880818e-15
/dev/random,Y,N,Y,N,N,256,buffer,457677.353444011,1.6121327072228713e-7,0.0000021849453386212453,3.6009036238332804e-8,1.6480520405629644,77,1.8371957264455512e-8,2.5989718656977443e-14
/dev/random,Y,N,Y,Y,N,256,buffer,453286.5785767188,1.7003459295633636e-7,0.0000022061098811703507,4.041465735485423e-8,1.8319421756732301,68,2.061972314023175e-8,2.891176280182699e-14
/dev/random,Y,N,Y,Y,Y,256,buffer,1740386.14389318,1.2878332131811864e-8,5.745851307245165e-7,2.576202967650635e-9,0.44835879487556557,96,1.3143892692095076e-9,1.658514384972579e-16
/dev/random,Y,N,Y,N,N,4096,hex,684494.174062726,9.653732796075836e-8,0.0000014609328141752184,2.1154674713271792e-8,1.4480251595426608,80,1.0793201384322342e-8,9.31945568980302e-15
/dev/random,Y,N,Y,Y,N,4096,hex,648019.583305654,1.1812309854992234e-7,0.000001543163240374367,2.6048178323688357e-8,1.6879729663187897,79,1.3289886899840998e-8,1.3953066411034667e-14
/dev/random,Y,N,Y,Y,Y,4096,hex,1501354.5436203706,2.6190327959152515e-8,6.660651904303678e-7,5.351839670598003e-9,0.8035008806180058,92,2.730530444182655e-9,6.85933278607966e-16
/dev/random,Y,N,Y,N,N,4096,buffer,910139.285373939,6.52866993310442e-8,0.000001098732925905007,1.4875272291678685e-8,1.3538569693291194,74,7.589424638611574e-9,4.262353109542167e-15
/dev/random,Y,N,Y,Y,N,4096,buffer,808738.38791054,9.52921639698142e-8,0.0000012364937969416839,2.1284717878649277e-8,1.7213768424309464,77,1.0859549938086366e-8,9.080596514049954e-15
/dev/random,Y,N,Y,Y,Y,4096,buffer,2141610.7573035746,1.645622509052878e-8,4.669382597139474e-7,3.3998913276661263e-9,0.7281243840992908,90,1.7346384324827176e-9,2.70807344230149e-16
/dev/random,Y,N,Y,N,N,65536,hex,770695.0010808796,8.06884109313648e-8,0.00000129753014953714,1.779318475722983e-8,1.3713118545705534,79,9.078155488382566e-9,6.510619658628791e-15
/dev/random,Y,N,Y,Y,N,65536,hex,736269.2469160447,7.116584618220993e-8,0.0000013581987896257032,1.5594903634492096e-8,1.1482047954695784,80,7.956583486985763e-9,5.064577662829964e-15
/dev/random,Y,N,Y,Y,Y,65536,hex,1627616.6773345536,1.8465371530151638e-8,6.14395277417308e-7,4.596404877692521e-9,0.7481185234714236,62,2.3451045294349598e-9,3.4096994574653463e-16
/dev/random,Y,N,Y,N,N,65536,buffer,1043137.5656048589,4.415942339890063e-8,9.586463310044387e-7,9.863569359461322e-9,1.0289059729803163,77,5.03243334666394e-9,1.9500546749233726e-15
/dev/random,Y,N,Y,Y,N,65536,buffer,963050.4241335676,4.7975642431157985e-8,0.0000010383672286938403,1.044802879611885e-8,1.0061978563461986,81,5.330626936795331e-9,2.3016622666823263e-15
/dev/random,Y,N,Y,Y,Y,65536,buffer,2305499.6208612677,1.9832594184279528e-8,4.337454627845174e-7,4.4298623772238935e-9,1.0213046031157282,77,2.260133865930558e-9,3.933317920783181e-16
/dev/urandom,Y,Y,Y,Y,N,,hex,62403.10042245111,0.0000010601836280809155,0.00001602484481107968,2.5198965291209416e-7,1.5724935616092013,68,1.28566149444946e-7,1.123989325250813e-12
/dev/urandom,Y,Y,Y,Y,Y,,hex,418000.0700605488,1.0110139833349205e-7,0.0000023923440966293296,2.1123792738269335e-8,0.8829746844541093,88,1.0777445274627212e-8,1.022149274498743e-14
/dev/urandom,Y,Y,Y,Y,N,,buffer,64872.53907512235,0.0000011796541999225062,0.000015414842925170553,2.8460257284464654e-7,1.8462891527744687,66,1.4520539430849314e-7,1.3915840313948082e-12
/dev/urandom,Y,Y,Y,Y,Y,,buffer,506420.80407811917,1.496877725708772e-8,0.000001974642415847005,2.9636666932761546e-9,0.1500862469828451,98,1.5120748435082421e-9,2.2406429257230655e-16
/dev/urandom,Y,Y,Y,N,N,256,hex,376694.3361388512,2.3704262823590353e-7,0.0000026546722476639404,5.400906579554343e-8,2.034490918533177,74,2.755564581405277e-8,5.6189207600984766e-14
/dev/urandom,Y,Y,Y,Y,N,256,hex,353515.99211714737,2.2489918288064963e-7,0.0000028287263442062957,5.306637277918367e-8,1.87598114210915,69,2.7074679989379424e-8,5.057964246038389e-14
/dev/urandom,Y,Y,Y,Y,Y,256,hex,1203190.6505691088,4.8250507698666694e-8,8.311234794976177e-7,1.0197852665097327e-8,1.2269960982526373,86,5.202986053621085e-9,2.328111493179094e-15
/dev/urandom,Y,Y,Y,N,N,256,buffer,455782.1030787376,1.566207345947069e-7,0.0000021940308608985624,3.568530952691589e-8,1.6264725425193436,74,1.820679057495709e-8,2.453005450498562e-14
/dev/urandom,Y,Y,Y,Y,N,256,buffer,427134.98357638135,2.074188473424319e-7,0.0000023411802789531462,4.663344414001703e-8,1.991877539685627,76,2.3792573540825014e-8,4.3022578232863073e-14
/dev/urandom,Y,Y,Y,Y,Y,256,buffer,1699147.5300732325,1.9315434910289236e-8,5.885304143995669e-7,3.946995660724996e-9,0.6706527928130643,92,2.0137732962882636e-9,3.7308602577362015e-16
/dev/urandom,Y,Y,Y,N,N,4096,hex,686178.0664101783,1.1345828753968083e-7,0.0000014573476608362291,2.6579283881768836e-8,1.8238121620559358,70,1.3560859123351447e-8,1.2872783011436895e-14
/dev/urandom,Y,Y,Y,Y,N,4096,hex,664055.4020547066,9.061570111021909e-8,0.0000015058984489935937,1.9857041016102798e-8,1.3186175355564944,80,1.0131143375562652e-8,8.21120528769656e-15
/dev/urandom,Y,Y,Y,Y,Y,4096,hex,1468181.6117005327,3.630223351117976e-8,6.811146468737899e-7,7.378157862135827e-9,1.0832475701411537,93,3.764366256191749e-9,1.3178521579002228e-15
